,compound,neg,neu,pos,tweet_text
0,0.0,0.0,1.0,0.0,#Jääkausi tulossa. #ClimateChange #ilmastonmuutos #hiilinielu https://t.co/GB1AihQwCJ
1,-0.296,0.145,0.855,0.0,"RT @TheB1M: These buildings are ""eating"" smog - FULL VIDEO: https://t.co/lbzEJKiSFt #construction #pollution #climatechange https://t.co/67…"
2,-0.25,0.1,0.9,0.0,"RT @SadrachNirere: @Chad_Stan33 @Nellaroma87 @climate_series Over 4 billion people in the world use social media, in Africa alone over 1 bi…"
3,0.7208,0.0,0.721,0.279,@CNN why was #ClimateChange not   A way bigger priority tonight!!!!?????? Do Better. #DemDebate #DemDebates… https://t.co/QzVvNQXTwg
4,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
5,0.4404,0.0,0.805,0.195,RT @BillionthMonkey: Good to see this published in Financial Post #climatecrisis #climatechange https://t.co/6G3SVhk6x6
6,0.0772,0.0,0.929,0.071,"RT @NikolovScience: New published #Science challenges the current #climate theory and all #GlobalWarming projections based on it:
https://t…"
7,0.3612,0.0,0.857,0.143,So this is my dads company... 100% biodegradable single use plastics 😀 #singleuseplastic #climatechange… https://t.co/tdVgScyluf
8,0.0516,0.104,0.783,0.113,"RT @350: ⚠️ BREAKING: Pacific Island leaders declare a #ClimateCrisis. 

""This declaration makes clear that the current scale of the climat…"
9,0.0,0.0,1.0,0.0,On #BBCnews this morning: hottest 10 years in history have been recorded since 2002. What does that tell us? We sho… https://t.co/jXqauuqF2S
10,-0.4019,0.231,0.769,0.0,And some still dispute climate change? #globalwarming #UKweatherrecords #Metoffice https://t.co/gpVueggxHv
11,0.1027,0.085,0.814,0.101,"RT @ProfStrachan: ""The science is crystal clear and leaves #oil giants no wiggle room. Either they ditch #fossilfuels, or we'll face the fu…"
12,0.4588,0.0,0.842,0.158,"RT @leadnowca: Welcome to the new normal. Canadians act now and cooperate for climate. 
#ClimateCrisis #GreenNewDeal 
https://t.co/QxrcTCT9…"
13,0.0,0.0,1.0,0.0,"@search_mk @formgestaltung @Luisamneubauer „Human carbon emissions CANNOT cause any #ClimateChange!“

„Die Kohlenst… https://t.co/1eCbrnb2a8"
14,0.0,0.0,1.0,0.0,"RT @ChrisMartzWX: Science and statistics indeed say that there is ""climate change."" However, science does NOT say that there is a #climatec…"
